,Text
0,Anyway if you’re leaving Singapore let me I just wanna take a look at your check-in luggage real quick
1,concession and can waive off the 5kg extra weight. The manager at the Changi check-in counter was so rude and was not listening to any requests. End of this story I had to pay for it and it was my last journey with you. There are many options I have. #TheLast
2,"@nehrumoorthi Hi Nehrumoorthi, thank you for the screenshots. We advise you to head to the airport counters for a check-in instead if you are still facing errors for the web check-in. We apologize for any inconvenience caused. Thank you."
3,@valeriekraemer @rebeccagoerres @dcwarrington @darrenmurph We don’t do a daily check-in but we have a few sync touch points on a weekly or fortnightly basis to discuss some things we can’t unblock async or to discuss our initiatives. Our team is mostly based in EU now so it’s not a major painpoint; will change when we expand!
4,These initiatives include providing step-by-step picture guides on check-in procedures for passengers with autism spectrum disorder. https://t.co/3GY8fAO9dr
5,"@SingaporeAir Can I keep check-in bags in 2 pieces within the weight limit (30kg), while travelling from Singapore to Mumbai?"
6,"@airvistara Can I keep check-in bags in 2 pieces within the weight limit (30kg), while travelling from Singapore to Mumbai?"
7,"@franslebin Nada, essa area é aberta, nem fiz check-in ainda"
8,"Wenn ihr mal was sehr spezifisches wissen müsst, fragt das Bodenpersonal am Check-in. Deren Systeme können mehr als die der Airlinezentralen, und die Berater an den Telefonen können euch dazu auch keine Auskunft geben. Sprecht sie immer direkt am Airport an!"
9,"Beim Check-in gerade wurde mir mein Guest File vorgelegt, und da stehen mein Job Title und Unternehmen drin. Die haben mich einfach bei LinkedIn gestalked - wie simpel und perfide!
(Wie gut dass Shadyhausen in the past ist xD)"
10,"Have 2 children, one with autism, a husband with MS and we are expected to sleep on the floor for at least TWO NIGHTS until it is resolved. All because we followed the @GOVUK website and @British_Airways aren’t following what it says. All meds in check-in luggage… HELP!!!!"
11,"So it's time for departure to SG. Tiny bit of a scare just now as I ""nearly missed"" my bus. I failed to see on my printed ticket that Transtar has 1hr check-in prior to departure. The female staff was very adamant about not letting me board but the male staff on duty was kind."
12,"カワウソ イズ バック

https://t.co/3MkRUK2arZ New SafeEntry Check-In Shows An Otter Swimming On Top If You're Cleared"
13,"36-hour Stay at Andaz Singapore from S$350 Nett (SRV-Eligible) with Breakfast Included - Check-in at 9AM, Check-out at 9PM  https://t.co/DV6Kkmo8xH  #andazsingapore #singaporediscovers #staycation #sg #sgdeals #deals"
14,@LeoRautins @hollyrpeete Turning this into a racial issue is ludicrous.  It says on the conditions of carriage flat-out that the card may be requested at check-in?  Holly sounds more entitled than anything else here
15,@Khairykj @MKNJPM @my_sejahtera Safe-Entry Gateway (SEGW) check-in/out method. https://t.co/TV3DS20WuW
16,"@Khairykj @MKNJPM 1. Kerajaan Malaysia perlu menaiktaraf @my_sejahtera untuk berfungsi sebgi contact-tracing apps sepenuhnye supaya sistem check-in/out boleh di laksanakan.

2. Token perlu di sediakan secara percuma sekiranya pengguna tidak menggunakan telefon bimbit. https://t.co/BS1hbPqzMd"
17,One of the check-in/out desk. S$10/hr job. https://t.co/8gnI98Ex97
18,"As I observed, social problems can be less tense with the introduction of AI and automation, like vending machines, automated check-in and out in the supermarket, offices, transportation, etc."
19,Sejak mysejahtera kena check-in check-out ni lupa terus nak check-in swarm macam kebiasaan
20,"The first day of check-in.#NTU #ASE 
Practical gifts to freshman. https://t.co/kXnrGumdJA"
21,"Pagi-pagi masuk mall meski ga ada yang jagain tetap musti disiplin, bluetooth tracetogether check-in. https://t.co/K2Ao3ffJR7"
22,"Astro - Our friendly guide at @Salesforce Singapore, keeping everyone safe with the #SafeEntry (National check-in system to facilitate Covid-19 contact tracing) https://t.co/qUXCt56jD0"
23,"The SafeEntry Gateway (SEGW) is a new check-in method that allows individuals to check in more quickly and seamlessly. It can also be used to check if the TraceTogether (TT) Token is working as intended. It will be deployed as additional mode of check-in.

#TraceTogetherapps https://t.co/r9INCakSzc"
24,"#Tracetogetherapps 

Check-in via #SafeEntry gateway android system. https://t.co/4t0poVEVYV"
25,(SEGW) #SafeEntry #gateway check-in for morning shift reporting. https://t.co/CgqFxDqLua
26,"@MiotRomain @BrunoMasure Suis parti à singap le 30 juillet, PCR nécessaire pour le check-in, pass vaccin nécessaire pour passer l'immigration."
27,"Check-in using TraceTogether apps via gateway box.
#SOP
#Covid19 
#Singapore https://t.co/O8jfWllzsc"
28,Check-in protocol at Boon Lay Place Market &amp; Hawker Ctr. https://t.co/UAPoAmuFSg
29,"Check in using token..

Then when I check out thkrty second using handphone.. the check-in info is immediately displayed on handphone!!

Damn fast info update!!

U guys dun appreciate Singapore.
Dun appreciate 2021 modernity!!!

Wow .."
30,"Datang, check-in TraceTogether, duduk menanti giliran.

Warga +62 dapat nomer kursi 62. https://t.co/cqbsXbGR8U"
31,"Salah satu aturan yg bikin penanganan pandemi terkendali di Singapur, wajib check-in disemua tempat umum dari awal pandemi. Di buku Switch, ttg mendrive perubahan, cara relatif mudah utk membentuk perilaku itu dgn external rule(s), apalg kl bicara banyak orang. https://t.co/Xf4jrkyZES"
32,What’s the use of the group function check-in if you don’t allow the person without a phone/token to check in together??
33,I'm at Garuda Indonesia Check-in Counter in Kepulauan Riau w/ @gama_tara @4sq_user @4sq_hunter @rie_mutiara https://t.co/qXb2IPD3Og
34,Salām dari Singapura. Namanya TraceTogether. Bentuknya ada yg token dan Apps. Cara kerjanya mirip check-in Foursquare (klo ada yg inget). Ini adlh salah satu dari banyak langkah Pemerintah disini buat memperkecil tersebarnya wabah. 😊 @icamarica https://t.co/JUi0T1l3L6
35,"Late lunch after check-in.
#clubsandwich
#whatcarroteats #providore #rafflescity #foodphotography #foodpic #foodstagram #foodpics #fooddiary @ Raffles City Singapore https://t.co/cbSvQ0lhlJ"
36,"Update @my_sejahtera to enable public perform check-in/out at all venues.
@Khairykj
@DrAdhamBaba
@officialmosti
@Ghows

SafeEntry Gateway check-out boxes to be rolled out at malls, other high footfall venues

https://t.co/4KiVuhqpYm"
37,"Update @Selangkah_my to be able to perform check-in/out at all venue.
@AmirudinShari
@DrDzul

SMS alerts, mandatory testing for people who visited COVID-19 hotspots on same days as confirmed cases

https://t.co/9VnqmE0sQC"
38,Safe-Entry check-in system into mall via TraceTogether apps or same platform like @my_sejahtera in Jurong Point/Boon Lay MRT in Singapore. https://t.co/NYVFSmpNy3
39,"With all the blocked off entries and like only two check-in points, every mall in Singapore is a labyrinth with no entrance. https://t.co/DcwAxi2zXq"
