,Text,Translated
0,"""음압격리병상에서 7일 동안 병상 배정을 기다리는 확진자가 한 명 생기면 열나는 (비코로나19) 환자 28명이 쓸 자리가 없어지는 셈""
https://t.co/ijCkPXJKzN","""If you have a confirmation that you have a confirmation that you have a confirmation for 7 days for seven days in a sound pressure isolation,
https://t.co/ijckpxjkzn"
1,"자가격리NO! 베트남 푸꾸옥 빈펄리조트 올인클루시브 999,000원~
https://t.co/DWcVWvcmm5","Pretty Principle NO! Vietnam Poachon Bongpul Resort All Inclusive 999,000 won ~
https://t.co/dwcvwvcmm5"
2,"이른바 대장동게이트 협력자들,50억 클럽의 당사자들이 검찰에 소환되 조살 받았는데,여기서도 系派가 갈리는거냐,곽상도는 구속영장을 청구하고 권순일은 기소한다니,그밥 그나물이고 한통속인데 法적용이 다른것이 말이되나,私益을 편취하는데 사용한 이런 法꾸라지들 사회에서 영원히 격리되야한다. https://t.co/Ukvzer2GyF","The so-called Hargok-dong gate partners, a 5 billion club parties were summoned by the prosecution, and here, there is a bunch of achievements, Kwak Dai is charged and charged with a restraint warrant. But it should be used forever in this way that we used to assemble the I do. https://t.co/ukvzer2GYF"
3,"격리해제 기념으로 주말엔 노꼬메가서
신나게 놀고왔다. https://t.co/jtUTrTJ34e","Isolated on the weekend,
I have been playing exciting. https://t.co/JTUTRTJ34E"
4,"나리타 공항에 도착해서 그 누구도 감시하지 않고 자유롭게 빠져나갈 수 있는 환경과, 14일 동안 격리를 한다고 해도 호텔마다 천차만별인 격리 대책부터 어떻게 하고 난 뒤에 외국인 신규 입국을 막아야 하지 않을까? https://t.co/F9PilqGObn","If you arrive at Narita Airport, you should not monitor anyone who can not surveillance, and that you can get rid of it for 14 days, even if you do not have to isolate it from the hotel, how should I stop entering a foreigner https://t.co/F9PilqgoBN"
5,"https://t.co/XLCMoqrnsw
이런 새끼들은 사회의 적 이다!!
영원히 사회와 격리조치 시켜라!!!👹
국민당은 21세기 용팔이사건 식으로 대선운동를 하고 있구먼~~~
완전 폭력배들만 우글거리네!","https://t.co/XLCMOQRNSW
These cubs are society's enemy !!
Forever, take action and isolate it !!!
The National Party shall have a presidential campaign in the 21st century.
It is only a perfect violence ship!"
6,"자가격리 끝나고 부산 합숙 가기전 회식
with SBXG boys https://t.co/3tFsfnU3AZ","After the prayer,
With SBXG Boys https://t.co/3TFSFNU3AZ"
7,"1. 뭔가 리얼한 백신 후기를 보는 듯한 이 너낌..💉
2. ‘지금 이 순간’이 생각보다 엄청 빨리 나오는군🤭
3. 꼭 약물이 아니어도 한 일주일 자가격리하면 나도 하이드가 될 수 있을것 같아..🤔
(2막을 마저 봐볼까..? 👀)","1. I feel like I'm looking at something real vaccine ..
2. 'Now this moment' comes out of the idea
3. I do not think I can be Hyde, even if I get a week,
(Let's take a look at 2 stops ..? 👀)"
8,@nadojoa22 샘~괜찮으시죠??자가격리중이신거예요??ㅠ,@ Nadojoa22 Sam ~ Are you okay ?? Are you a pricing?
9,계장님 자녀 두분 확진이라 열흘간 자가격리 ㅠ_ㅠ 이럴 때 힘이 되어드려야지!,I am confirmed that the chief is confirmed.
10,"해외입국자 자가격리 면제기준, 보건소 PCR검사 후기 (출처 : Hello , .. | 블로그) https://t.co/jn5hvHGwvR","Overseas immersion price exemption standard, Public health center PCR examination (Source: Hello, .. | Blog) https://t.co/jn5Hvhgwvr"
11,"호주여행, 워킹홀리데이 등 무격리 호주입국 드디어 열렸다, 조건은? (출처 : 너구리 가.. | 블로그) https://t.co/0aOtt7rnnu","Australia, Walking Holiday, etc. (Source: Raccoon ... | Blog) https://t.co/0aott7rnnu"
12,@nadojoa22 헙...괜찮으신거죠???ㅠ자가격리 하셔야 하는거예요???ㅠㅠㅠㅠ,@ Nadojoa22 헙 ... Are you okay ??? ㅠ I have to get a price ??? ㅠ ㅠㅠ
13,큰아이 반 아이가 확진나서 오늘부터 우리애들은 자가격리다. 둘째도 음성 확인했고 29일 12시에 풀린다는데 12월 1일부터 5일까지 거제통영 부산 새로 뽑은 차로 여행가고자 했는데 큰 아이가 자가격리 풀리면 여행안가고 현장학습이고 뭐고 학교를 가고프단다.🙄 거제 벨버디어는 예약 진짜 빡센데😪,"Since the big child is confirmed, our amners from today to pray. The second is also confirmed by the voice and released at 12:00 on the 29th, but it was a car with a newly picked up by the Gouge Tongyeong Busan, from December 1 to 5, but if a big child is uncomfortable, it is not a trip, Bureau is a real tighten"
14,자가격리 없이 해외여행 가고 싶다면?🛫 [해외 입출국 팁 &amp; 프랑스 미식 여행 Q&amp;A] https://t.co/NXAverU49I - @YouTube,"If you want to travel abroad without prayer, France Gourmet Travel Q & amp; a] https://t.co/nxaveru49i - @youtube"
15,"미접종자는 자가격리 필수구나,,
ㅠㅠㅠㅠ후…","The unreasonable person is pretty essential,
ㅠㅠㅠㅠㅠ ..."
16,와.. 자가격리 10일 하고 나니까 등교하기가 싫음.... 그냥 갑자기 오라고 하니까 가슴이 쿵쿵뜀... (왕따아님) 그냥 그 교실에서 다시 8시간 넘게 썩을 생각하니까 눈앞이 캄캄하다... https://t.co/4WB7YjJYL2,And ... I do not like it to go to school 10 days. https://t.co/4WB7YJJYL2
17,"자가격리 낮 12시까진거 왠만하면 다 아냐...? 담임한테 구라까고 싶었는데 들킬까봐 못깜 5,6,7교시 하라는데 이거 맞냐....","I do not know what to do. I wanted to be a homerine, but I can not see it."
18,@dal0627 네^^ 격리 기간 끝나면 꼭 ㅎㅎ 챙기겠습니다^^,"@ DAL0627 Yes ^^ When I'm finished I'm finished, I'll get it ^ ^"
19,"결국 자가 격리 ㅋㅋ

화이자 2차 기말고사 바로 뒷날에 
맞을 수 있도록 
신경써서 날짜 짰는데 

학교 확진자 발생으로
기말고사 1주일 연기 됨.

기말고사 준비 기간 때 
2차 맞아야 된다고 ㅋ
우리 딸 
영혼이 나가 있음 ㅋㅋ https://t.co/h4QMCRfVMg","Eventually,

Pfizer Secondary finals
To be right
I care about it.

As a school confirmation
The final exam is postponed.

When the final examination period
I have to be right.
Our daughter
The soul is better ㅋ https://t.co/H4QMCRFVMG"
20,자가격리 물품 도착; 아이고~~ https://t.co/MXztc03cZ8,Arrival of the price of the goods; Ai ~~ https://t.co/mxztc03cz8
21,@hi_love_aya 학교에 확진자 3명인가? 나오고 자가격리자 100명 넘어서..ㅓ,"@HI_LOVE_AYA Are you confirmed in school? Over 100 people,"
22,"@IIDX_FALSE 예접완료자는 격리 따로 없어용!!
다음날 pcr검사하고 검사결과 받을때까지만 격리하고 6,7일 차 검사결과 받을때까지 능동감시에요///","@Iidx_false Advantage of the Completion of the Completion is not separated!
The next day I checked the PCR and get it until I get the test result,"
23,@sec_cache 네 우리나라 들어올때는 괜찮은데 비즈목적이라도  일본내는 10일 자가격리 때려서 아니면 14일 그것도 다 증명해야 ㅡㅡ 애들만 가는것도 아니라 뭐.. 일본은 저거 풀릴때까진 당분간..,"@sec_cache Yes, it's okay, but it's okay. Even if it's a beads purpose, it's not just a 10-day price, or 14 days, it has to prove it."
24,@HoneyLemonSpoon 네네 받고들어왔어요 결국은 내일아침까지 하루 격리해야되네요 ㅎㅎ 그래도좋네요!!!,@Honeylemonspoon I came to be received in the end of the year.
25,하와이 자가격리 면제! 가격대별 호텔 추천 LIST (출처 : 호텔스컴바인 | 네이버 포스트) https://t.co/SeZz5nLJAB,Hawaii Primary Press! Pricing Hotels Hotel Recommend List (Source: Hotels Combine | Naver Post) https://t.co/sezz5nljab
26,@Wandava 생태교란종이니 그냥 세계시장에서 격리시켜야(,@Wandava Ecological Kyungjong is just just isolated in the world market (
27,몰디브는 테마가 격리ㅋㅋㅋ,Maldives are isolated on the theme.
28,"격리없이 떠나는 여행19, 침 흘리며 본방사수 하고 있다","Travel to leave without isolation 19,"
29,"성남시 재난안전대책본부에서 알려드립니다.
 
11월 14일 0시 기준 신규 확진자는 42명이 확인되어 총 누적 확진자는 9,415명입니다. 현재까지 총 8,204명(완치율 87.14%)이 격리해제되어, 현재 격리중인 환자는 1,137명이며, 사망자는 74명(치명률 0.79%)입니다.

https://t.co/u13ic3AZov","We will inform you of Seongnam City Disaster Safety Measures Headquarters.

Based on November 14, the new confirmation is 42 persons, and the total accumulated confirmation is 9,415. To date, a total of 8,204 (87.14% of the cycle rate) is isolated, and the currently isolated patient is 1,137, and the deaths are 74 (0.79%).

https://t.co/U13IC3AZOV"
30,"삐쩍말라 공격으로 상처났던 첫째 설이를 시작으로 둘째 링고는 아이낳을 시기가 20일이 지나 태반과 탯줄이 썩어가고있다고
구조해 제왕절개로 수술하고 6중 셋은 첫숨쉬지도 못하고 떠났고
셋은 직접 분유먹이는 중 하나가 또 별..
링고가 젖도 안나왔고 귀진드기가 심해서 격리 치료를 해야했기에.. https://t.co/OG0uPbH7iK","In the beginning of the first snow that he was hurt by attacking, the second Ringo is a 20-day period,
Structurally, I was surgery with the Cesarean section, and six of six were left and
Three of them are one of the past foods.
The Ringo did not get married, and I had to make an isolated treatment because I was deeply deepened .. https://t.co/OG0UPBH7IK"
31,사회와 격리된다 내비치고서 긴 말 없이 15년의 후원을 중단하다. 서로 암묵적인 이해의 싸늘한 정적만이 수화기 너머로 전달된다.,"It is isolated from society, I will stop sponsorship of 15 years without long words. Only the creepy static of the implicit understanding of each other is delivered over the receiver."
32,코로나검사1주일사이3번(허술한스위스덕분에불필요했던키트검사까지넣으면4번;) 격리면제를위한몸부림=.=,"Corona Inspection 1 Journal of the Corona 3 (Thanks to the Histurized Kit to Be took the Kit Test to Be, 4 times;)"
33,"아 ㅋㅋ 뭔 줄이야 
PCR? 못 참지~
격리. https://t.co/x1EHvavwp3","Oh, what's it?
PCR? Nail
isolation. https://t.co/X1EHVAVWP3"
34,"@jinmadang @kin46241 그놈들,
빨리 격리시켜야죠!
그런데 개검들이 문제군요!
특검은 국개들이 문제고!","@jinmadang @ kin46241 Gnome,
I have to isolate it quickly!
But the dogs are troubled!
Specials are the problem of the budget!"
35,대학선배가 코로나 확진. 백신 2번 다 맞았음에도 돌파감염. 목이 계속 아프고 콧물이 나서 동네 이비인후과 병원에 갔었다는데...선배님 남편은 음성. 다행스럽게도 상태가 나쁘지않아 집에서 자가격리하며 치료 허락받음. 백신도 100% 안심 못하니 마스크 꼭 쓰세요.,"College senior is confirmed by Corona. The vaccine is also corrected even though it was hit. I kept sick and went to the hospital after the nose, and I went to the neighborhood Ivy. Fortunately, the state is not bad, but it is deducted at home. The vaccine is not 100% safe, so please use the mask."
36,"자가격리 끝!
처음도 음성! 지금도 음성!
정오12시부로 자유다^^💜 https://t.co/TMpgEkqZbD","End of the right!
The first voice! Stay now!
I am free to 12 times at noon ^^ 💜 https://t.co/tmpgekqzbd"
37,"코로나 증상때문에 집가는중

학교에서 6시간 격리중 심심해서 그린 컨볼들 https://t.co/5mGtsyBiuj","Due to Corona Symptoms,

During the school 6 hours in the school, the green convals https://t.co/5mgtsybiuj"
38,"@Sj861117sj 
안녕하십니까☔️
격리 생활… 수고하셨습니다😊🙏
나는 당신을 생각해서 열심히 합니다✊😉✊
당신을 만날 수 있으므로 두근거려 왔습니다💚💚💚 
몸상태에 조심하세요😷🙏
어떤 당신도 아주 좋아합니다💕💕💕 https://t.co/KzbHgZRfUA","@ Sj861117sj
Hello, ☔️
Isolated life ... Thank you.
I think you think about you.
I have been excited because I can meet you 💚💚💚
Be careful of your body condition 😷🙏
Any you liked it very much 💕💕💕 https://t.co/kzbhgzrfua"
39,"@Aaliyah24397063 40대 대다수가 민주당을 지지하지만 저는 그분들의 생각과 언행에서 민주와 진보성을 느낀적은 없었던것 같네요. 쩝 ㅠ
요즘들어 우리는 타 집단을 이해하는 능력을 상실해간다는 생각이 들어요. 집단과 집단이 서로를 욕하고 귀를 막아버리는 자가격리의 상태인데, 이를 어떻게 극복할수 있을지. 😭","@ AALIYAH24397063 The majority of 40s support the Democratic Party, but I think I had never felt democratic and progressiveness in their thoughts and actions. 쩝 ㅠ
Nowadays, we think we will lose the ability to understand other groups. The group and the group are the price of a person who drives each other and blocks the ears, and how can I overcome it. 😭"
40,"#방탄업기단_오늘의운동
#갓댓라잇바디앤댓라잇마인드 
격리 끗!!!!!!!!!!!!!!!!!?
오늘 간만에 하는거라 무게 약하게 했는데.... 어으 힘드렁
그리고 트레이너와 대표님한테 관심받은 헬린잌ㅋㅋㅋㅋㅋㅋ
#BTSARMY
#체력은_방력 #방업단은_천천히_꾸준히
#방탄은아미를건강하게해 https://t.co/Rs7vICRgEY","# Bulletproof base _ Today's movement
# Freshly Coming
Isolation Ceremony !!!!!!!!!!!!!!!!!?
I did it today, but I have weak weight ....
And I am interested in the trainer and the representative.
#BTSARMY
# Stamina _ The River # Machine is slowly _ steadily
# Bulletproof will make Ami healthy https://t.co/rs7vicrgey"
41,@ZeetwoZ2 자가격리 안해도 되죠?,@ ZEETWOZ2 If you do not get rid of it?
42,"따님 학교 동급생 확진 소식으로 분주했던 토요일 오후. 
검사 후 어제밤 대화. 
“확진되면 자가격리 할 지도 몰라. 그러면 생필품 박스를 보내 준다던데”
“그 박스에 들어가 자가격리 하는거야?”
ㅋㅋㅋㅋ 
고양이 사랑하는 만 7세 11개월의 기발한. 당연한 의식의 흐름","Saturday afternoon afternoon, which had been busy in the news of the school classmates.
Night conversation yesterday after inspection.
""If it is confirmed, it may be praying to pray. Then I will send a necessity box. ""
""Are you going to the box to get in the box?""
LOL
Cat is a loving only 7 years old. Flow of natural consciousness"
43,@BertVanmeir 코토부키양은 격리중인가 보군요,@Bertvanmeir Kotobu Kiyang is a quarantine.
44,@mkchoi007 돌아는 왔는데 격리중이래요.,"@ mkchoi007 I came back, but I'm in isolation."
45,"이런 개같은 경우도 있나?
초등학교 1학년 손녀반에 확진자가 1명이 감염 되었다 하여 전교생이 학교 수업 중지에 감염 검사를 받았다 검사 확인 기다리고 있지만 열도없고 컨디션으로 보아
괜찮을것으로 본다 그런데 보건소 에서 식구 모두 격리 하라한다 확인도 없이 학생들 가족 모두 가두면 되나?","Is there any such dog?
Elementary school, 1 year old granddaughter was infected with one,
I think it will be okay, but I will isolate all my family in the health center."
46,"설훈 의원 2주 출장 마치고 귀국하면 2주간
자가격리할 거란 어느 트친님 글 보고 빵빵
터졌다.","It is 2 weeks when I return to the two weeks
I will pray to the price.
I broke up."
47,"접종완료잔데여......
나 왜 자가격리중이지...?
#방탄업기단 #휴식중
#자가격리중 https://t.co/tDOjNDwPf1","Completion of the inoculation ......
Why am I prices ...?
# Bulletproof base # Relaxation
# Rate Price Https://t.co/tdojndwpf1"
48,@nyukoku_itsu 신규 입국의 방도가 생겨서 정말 다행입니다. 어차피 유학생은 장기체류자인데 격리기간도 줄여주면 좀 좋을까요😂 무사히 건너오시길 바랍니다!,"@nyukoku_itsu It is really glad to have a new entry of new entry. Anyway, the international student is a long-term stay, but if you need to reduce the quarantine period, I hope you will be a little better."
49,@Heera6974 격리 풀리자마자 케이티엑스 타고 상경하기,@ Heera6974 Isolated on Katie X Ride
50,"[글로벌K] 싱가포르, ‘무격리 입국’ 2개국 추가…한국 등 13개국으로 확대 / KBS  2021.10.28. https://t.co/ll9Euk9nvs - @YouTube","[Global K] Singapore, 'Entrance of Poem' 2 countries added ... Go to 13 countries including Korea / KBS 2021.10.28. https://t.co/ll9euk9nvs - @youtube"
51,"예,,, 해는 서쪽으로 지는데 노을찍겠다면서 동쪽으로 카메라 세운 제가 밥오멍청이입미다,,,, 낼 다시 도전‼️자가격리호텔 뷰가 아주 미쉐린 맛집임 뇸뇸 https://t.co/EVUyTuO1Ez","Yes ,,, The year, the sun is going to the west."
52,코로나 확진자나오고 인원자가격리들어가서 많이빠지면서 백신접종으로 인원빠진상태에서 메꾸는인원으로 해본적도없은 업무투입됬는데 제대로안알려줬으면서 실수몇개한거 지적받았다고 경위서 쓰란다 뭔가하고보니 반장직위재량으로 충분히 커버칠수있는건데 그냥 떠넘긴듯 이거맞아?,"Corona confirmed, I am going to get rid of it with a lot of people with a lot of people, and I have not been able to do it with the person in accordance with the vaccination. It's just like it's right."
53,킴 격리 끝날때까지 우리도 다 같이 격리 중.. https://t.co/eyqFnQ4F1a,By the end of Kim isolation we are all as well as ... https://t.co/eyqfnq4f1a
54,중국 격리 중 코로나 검사당하기 https://t.co/WUUH3Q10X8 - @YouTube,"China Insulation of Corona, Https://t.co/wuuh3q10x8 - @youtube"
55,@akaik3134 대만은 격리 면제 국가 같은데 뭔가 사정이 있으실지도요. 쪼꼬미 데리러 서울 갈 때 시간 되심 같이 차라도 드시면 어떠신지요.,"@ Akaik3134 Taiwan is like an exemption from an exemption, but it may have something to do. I'm going to take a while when I go to Seoul when I go to Seoul."
56,@akaik3134 네 ㅠㅠ. 완성된지 2년만에 드디어 쪼꼬미 군사를 만날 수 있네요.ㅠㅠ 사장님 친구분 자가격리 기간 동안 기다리려면 11월 중순은 되어야 하지만 보름이야 기다리는 것도 아니죠!,@ akaik3134 Yes ㅠ. I can finally meet the army in two years. ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ
57,"격리 풀리는 태국여행 Q &amp; A, 뭘 준비하고 어떻게 가야하나? (출처 : 행복한 나.. | 블로그) https://t.co/XpWNdA72l2","Isolated Thailand Travel Q & amp; A, what should I prepare and go? (Source: Happy me .. blog) https://t.co/XPWNDA72L2"
58,"마지막 격리(?)일이라 pcr검사 한번 더해야해서 호텔 로비에서 대기중
그동안 조신하게 살아서 pcr구경할 일도 없었는데 근 1주일 사이에 코가 세번 뚫리네 ㅠㅠ 그래도 덕분에 해외여행도 할 수 있었으니 만족합니다👍 https://t.co/KrCDRJj0n4","Last isolate (?) It is a PCR checking for a time, waiting for the hotel lobby
I have not been able to see the PCR, but I did not see the PCR."
59,"격리&amp;백신 후 13일만의 술자리

#북경오리 #연태고량주 #마장면 #절주 @덕후선생ㅣ德厚先生 https://t.co/6jofJteiTp","Isolation & amp; 13 days after a vaccine

# Beijing Duck # Yantai Highland # Market Cotton # Sucloma @ Duck Human Teacher ㅣ 德 Thickness Https://t.co/JOFJTEITP"
60,"@unikore 두쪽다 있는걸로 알아요
백신 맞아도 양국에서 격리해야함다…","@Unikore I know you're two.
I have to isolate in both countries in the vaccine ..."
