,0
0,"americans, ', enthusiasm, travel, has, rebounded, levels, unseen, since, broad, rollout, covid, -, 19, vaccines, last, year, ,, as, their, wanderlust, eclipses, hesitation, fueled, by, omicron, delta, virus, variants, ."
1,"which, vaccines, are, only, 30, %, effective, or, less"
2,"i, had, currently, have, no, trust, government, or, medicopharmecutical, pyramid, scheme, &, amp, ;, my, local, doctor, then, didn, ', t, help, that, was, long, time, ago, &, amp, ;, i, have, continued, educate, myself, keep, open, mind, ., i, ', m, happy, covid, vaccine, exists, i, have, choice, take, it, ."
3,"instead, having, dialog, with, me, about, my, vaccine, concerns, when, my, daughter, was, baby, ,, i, was, banned, that, pediatrician, ', s, office, ., i, leaned, really, hard, into, holistic, medicine, then, ., i, heard, lot, stories, about, vaccine, injuries, being, downplayed, /, ignored, by, pharm, industry, ."
4,"about, fucking, time, they, hold, themselves, accountable, narrative, ., i, ', m, not, going, get, political, my, twitter, feed, but, i, have, vaccinated, covid, also, ,, when, my, kids, were, little, ,, chose, not, do, standard, childhood, vaccines, ., transparency, builds, trust, ., that, ', s, it, ."
5,"feb, ., 9th, 2022, ,, cdc, changed, definition, "", vaccine, "",, which, has, always, been, described, "", provide, immunity, ."", because, they, falsely, used, this, term, 2, years, describe, covid, syringe, which, does, not, provide, total, immunity, ,, they, simply, just, changed, term, altogether, :"
6,"before, vaccines, came, out, ,, it, was, 100, %, just, sayin, ."
7,"real, question, is, :, how, is, there, no, herpes, vaccine, yet, #, allvirusesmatter"
8,"you, have, almost, same, risk, other, vaccines, we, all, have, get, go, school, ., funny, how, nobody, is, complaining, about, them, ."
9,"#, dyk, :, laos, is, vaccinating, youth, against, #, covid19, thanks, part, vaccine, donations, by, american, people, ., is, supporting, youth, vaccinations, enable, students, safely, return, classroom, ,, many, whom, have, been, out, school, 9, months, due, closures, ."
10,"2nd, way"
11,"be, considered, fully, vaccinated, your, primary, doses, vaccine, must, be, less, than, 270, days, old, ., if, you, received, your, primary, does, more, than, 270, days, ago, you, need, booster, be, considered, fully, vaccinated, ., currently, there, is, no, end, date, validity, booster"
12,"you, mean, anti, vaccine, that, codes, now, extinct, rbd, yes, ,, we, are, because, it, ', s, useless, ., it, never, sterilized, upper, airway, because, it, insufficiently, stimulated, nalt, ."
13,"i, was, hoping, attend, conference, march, but, w, /, o, indoor, masking, that, will, be, impossible, ., data, one, way, masking, efficacy, was, established, vaccinated, patients, not, vaccine, non, -, responders, like, me, 4, /"
14,"vaccine, card, ., nft, paypal, ethereum, ., i, want, this, shirt, ., venmo, cashapp, ., i, need, essay, now, im, willing, pay, ., nft, shirt"
15,"no, ., i, work, healthcare, ., we, advocate, vaccines, every, day, because, vaccines, save, lives, ."
16,"just, as, it, ’, s, inappropriate, pretend, it, ’, s, 2019, ,, it, ’, s, also, inappropriate, pretend, its, 2020, ,, when, we, had, no, vaccine, somewhat, inaccurate, views, how, virus, spreads, ."
17,"yes, ,, one, most, common, rare, side, effects, influenza, vaccine, years, ."
18,"#, drcovid, says, :, "", this, is, basically, nature, ', s, vaccine, that, is, running, through, community, "", --, rand, paul, omicron, if, rand, ', s, commentary, was, literally, sponsored, by, covid, -, 19, ,, how, could, you, tell, difference, 01"
19,"historical, vaccine, safety, concerns"
20,"who, are, they, lockdowns, ,, masks, ,, trump, vaccine, started, under, trump, ., it, was, worldwide, not, just, us, ."
21,"flu, is, still, out, there, ,, it, can, be, horrible, sometimes, serious, little, ones, ., free, nasal, spray, vaccine, is, best, way, protect, them, others, flu, ., if, your, child, is, 2, or, 3, ,, ask, your, gp, today, ."
22,"dykema, ', s, dan, stern, will, present, "", curse, coviTongue_sticking_out_cheeky_playful_or_blowing_a_raspberry, dealing, with, vaccines, ,, testing, ,, accommodations, as, well, as, osha, cdc, ever, changing, guidelines, ,”, at, san, antonio, manufacturers, association, 17th, annual, employment, law, seminar, february, 24, ,, 2022, ."
23,"vaccines, are, not, required"
24,"wales, ,, scotland, england, over, 100, ,, 000, pregnant, women, have, had, #, covid19, #, vaccine, ., no, safety, concerns, have, been, identified, as, result, having, vaccine, while, pregnant, ., link"
25,"none, my, tweets, states, ignorance, ., vaccines, induce, neutralizing, antibodies, ,, but, what, i, am, asking, is, if, some, those, antibodies, enhance, spike, protein, ', s, chance, infecting, cells, ., is, itwhy, we, see, record, infections, evasiveness, ,, even, places, that, are, highly, vaccinated"
26,"this, young, man, was, not, able, attend, school, without, it, clearly, vaccine, was, not, effective, him, ., if, they, made, vaccines, by, choice, ,, i, would, have, no, problem, ., also, ,, when, can, company, sell, product, that, causes, harm, you, have, no, recourse, be, compensated"
27,"current, protest, is, fringe, ,, not, about, vaccines, just, look, at, our, national, vax, rates, ,, but, rather, even, tinier, fringe, co, -, opting, truckers, /, covid, /, vax, further, expand, reach, &, amp, ;, test, tactics, ., rad, right, is, small, here, but, deeply, rooted, ."
28,"i, would, have, thought, that, any, contracts, pfizer, et, al, made, with, governments, could, be, breach, if, pfizer, stated, that, vaccines, were, safe, effective, ,, knowing, that, they, ’, re, anything, but, …, thus, making, them, liable"
29,"block, people, that, retweet, jonathandata1, ., think, it, like, wearing, mask, or, getting, vaccine, ,, 15, days, stop, spread, jonathan, ’, s, bullshit, ."
30,"winner, also, :, vaccine"
31,"i, don, ', t, believe, you, need, "", gay, ,, black, ,, or, latino, "", part, ."
32,"as, vaccine, mandate, looms, ,, how, many, staff, at, beaufort, hospital, have, yet, get, shot"
33,"once, again, ., all, roads, lead, back, to, ,, fauci, his, desire, find, hiv, vaccine, ., if, man, is, capable, experimenting, “, disabled, children, foster, care, ”, he, is, quite, capable, experimenting, you, ."
34,"department, homeland, security, dhs, is, warning, law, enforcement, partners, planned, demonstrations, among, truck, drivers, protest, vaccine, mandates, that, could, disrupt, both, super, bowl, president, joe, biden, ’, s, first, state, union, address, ., more, :"
35,"challenge, #, covid, -, 19, #, coronavirus, trial, results, are, ..., |, #, nostrils, |, #, sarscov2, |, #, infection, |, #, pathogen, |, #, vaccine, |, via"
