,0
0,"finally, couid, nineteen, vaccine"
1,"assay, i, couid, i, vaccine, ahi, golslightly_smiling_face"
2,"first, batch, #, covidvaccine, ne, reached, lgby, airport, ,, #, guwahati, ., around, twenty, boxes, vaccines, received, today, at, guwahati, ,, out, which, seventeen, are, assay, three, are, meghalaya, ."
3,"state, task, force, sta, held, it, is, second, meeting, couid, -, nineteen, vaccine, ., #, nagaland, read, -"
4,"strengthening, efforts, health, counselors, effective, roll, out, couid, vaccine"
5,"couid, vaccine, arrive, at, twenty, cartons, vaccines, arrive, at"
6,"#, new_video_in_hindi, The, government, should, rethink, again, #, covidvaccine, ,, do, not, take, any, step, in, haste, folded_handsfolded_hands"
7,"Corona, vaccine, #, covidvaccine, #, covisheeld, came, to, the, state"
8,"this, is, what, entire, country, India, has, been, waiting, since, march, two thousand and twenty, ., green, corridors, being, created, by, police, multiple, India, cities, ., visuals, first, consignment, couid, -, nineteen, vaccine, #, covishield, arrives, at, telangana, ', i, immunization, complex, koto, #, hyderabad, #, covidvaccine"
9,"lowest, case, #, vaccine, is, ready, #, india, ., #, indiafightscorona, #, covid19, #, covidiots, #, covidvaccine, #, healthcare, #, safety, #, stanhope, #, world, #, people, #, 302pendinginssrcase, #, trumpcoupattempt, #, trumpbanned, #, biden, #, university, #, masterful, #, masterpongal"
10,"I, want, to, avoid, children, getting, couid, ., install, antivirus, ., I, do, not, need, an, ambiguous, vaccine, ."
11,"if, bop, will, come, power, ,, every, person, will, get, free, vaccine, couid, meanwhile, bihar, -"
12,"#, 4newstrains, ..., is, new, challenge, ..., testing, these, rampantly, ,, only, way, out, ..., we, cannt, let, it, beat, our, #, covidvaccine, initiatives, ...#, covid19, challenging, science, even, more"
13,"Something, happy, every, time, I, visit, I, am, impressed, and, proud, i, American_SamoaAmerican_Samoa, i, white_heartwhite_heartwhite_heart, @, Corona, -, couid, -, nineteen, Vaccine, Center, riya"
14,"beware, indian, cargo, planes, with, loads, couid, vaccine, may, be, hijacked, #, pakistan"
15,"live, update, out, six, #, covidvaccine, centers, #, telangana, ,, area, hospital, #, nasally, has, been, selected, as, center, #, covid19, vaccination, program, ,, i, inspected, hospital, preparations, ., #, covidvaccine2021, #, covidvaccinations, #, covidvaccinefacts, #, hyderabad"
16,"yes, ,, students, can, go, attend, their, exams, couid, when, there, was, not, even, any, signal, success, vaccine, but, u, should, not, do, ur, work, also, do, not, forget, there, i, doctors, nurses, i, many, others, who, i, constantly, doing, the, jobs, amid, couid, risking, the, ly, real, but, u, should, not, work, rid"
17,"great, effort, eradicate, #, covid19, ., #, india, #, healthcare, #, covidvaccine, #, couid, #, stateofemergency, #, staysail, #, swamivivekanandjayanti, #, aatmanirbharbharat, #, listen, #, vivekananda, #, priyankagandhi, #, homeoffice, #, whatsappprivacy, #, trumpbegged, #, biden, #, masterful, #, masterpongal, #, homeschooling"
18,"has, updated, info, now, :, so, four hundred and ninety-three, has, delivered, all, six, ., four, lakh, doses, #, covidvaccine, scheduled, be, delivered, today, bengaluru, ., pics, at, vaccines, unloading"
19,"#, vaccinestrategy, green, corridor, made, truck, carrying, couid, vaccines, ,, truck, currently, enroute, rajiv, gandhi, hospital, ."
20,"welcome, #, bengaluru, ,, #, couid, #, vaccine, have, great, time, ., #, vaccinations"
21,"wait, is, finally, over, ., first, consignment, #, covidvaccine, vials, have, arrived, at, storage, center, bengaluru, ."
22,"#, covidvaccine, bengaluru, :, spicejet, day, sent, it, is, est, batch, vac, doses, i, ', lure, from, pune, ., so, four hundred and ninety-three, read, kia, @, twelve, ., fifteen, am, ,, said, spokesperson, ty, not, yet, clear, ., deliv, six, ,, forty-eight, ,, zero, doses, i, ', our, tue, &, amp, ;, four, in, doses, four, india, ., rep, pic"
23,"Congratulations, Delhi, The, first, consignment, of, Corona, Vaccine, reached, Delhi, ., #, covidvaccine, #, delhi"
24,"scoop, est, look, it, suggests, it, i, i, multi, -, dose, vial, ., expiry, april, two thousand and twenty-one, indicates, limited, shelf, life, ., two, doses, per, person, will, consume, most, them, ., storage, course, at, two, -, eight, i, i, ., #, covidvaccine, #, indiafightscorona, #, vaccineswork"
25,"preparatory, meeting, regarding, couid, vaccine, sixteen, Jan, pro, ameerpet, chandrakant, ,, do, revathi, ,, do, sridhar, nodal, office, #, bop, #, bjpforindia"
26,"nepal, desert_island, i, desert_island, i, prefers, indian, vaccines, over, chinese, as, am, gyawali, visits, india, procurement, half, million, doses, couid, -, nineteen, thermometer, i, thermometer, i, vaccine, india, tops, agenda, nepalese, foreign, minister, pradeep, gyawali, who, arrives, new, delhi, january, fourteen, ., #, newyear2021, #, censorship, flying_saucerflying_saucer"
27,"#, seruminstituteofindia, #, covidvaccine, #, aatmanirbharbharat"
28,"#, ahmedabad, :, first, consignment, coronavirus, vaccine, arrived, at, ahmedabad, ', i, sardar, vallabhbhai, patel, international, airport, deputy, am, nitin, patel, was, present, at, airport, ., #, covid19, #, covidvaccine, #, five hundred and six, #, one thousand, two hundred and one, #, ourvapii"
29,"am, waiting, take, couid, vaccine, head, out, world, that, we, are, so, used, i, shows, ,, recordings, ,, shoots, et, al, i, some, people, ask, if, vaccine, is, safe, or, without, side, effects, i, my, answer, is, any, side, effect, is, benign, compared, dreaded, couid, ,, especially, my, age"
30,"couid, vaccine, mi, mah, ribeye, ."
31,""", Survey, bhavani, sukhi, :, Survey, santa, nirmala, ., May, everyone, be, free, disease, "", this, is, stamp, marked, every, box, #, covidvaccine, transported, various, parts, country, ...."
32,"#, covidvaccine, If, someone, is, taking, medicine, for, diseases, like, cancer, ,, diabetes, ,, high, blood, pressure, etc, ,, can, he, take, corona, vaccine, #, indiafightscorona, #, coronavaccine"
33,"boom, rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing, ., that, is, #, rocketship, rocket, son, face_with_tears_of_joyface_with_tears_of_joyperson_facepalminglight_skin_tone, i, male_sign, ., #, retweet, #, twitch, #, twitter, #, india, #, mumbai, #, memes, #, funnyvideo, #, onlybreath, #, covidvaccine, #, donaldtrump, #, goodmorning, #, goodmorningtwitterworld, #, boom, #, maharashtrian, #, instagram, #, quoteoftheday, #, positivevibes"
34,"boom, rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing, ., that, is, #, rocketship, rocket, son, face_with_tears_of_joyface_with_tears_of_joyperson_facepalminglight_skin_tone, i, male_sign, ., #, retweet, #, twitch, #, twitter, #, india, #, mumbai, #, memes, #, funnyvideo, #, onlybreath, #, covidvaccine, #, donaldtrump, #, goodmorning, #, goodmorningtwitterworld, #, boom, #, maharashtrian, #, instagram"
35,"blo, at, vacant, kung, sector, i, pocket, -, one, is, supposed, reach, by, twelve, ., zero, noon, distribute, forms, couid, -, nineteen, vaccine, till, now, there, is, no, sign, ., senior, citizens, are, waiting, but, no, sign, her, coming, ., is, this, way"
36,"When, the, car, carrying, the, loved, vaccine, from, the, Serum, Institute, in, Pune, ,, was, worshiped, ., Why, do, you, know, that, before, taking, the, vaccine, ,, you, should, also, worship, ..., why, do, you, know, #, covidvaccine"
37,"good, be, story, tracking, couid, vaccine, i, i, transportation, bengaluru"
38,"first, batch, couid, -, nineteen, vaccine, at, ii, airport, ., #, news"
