,Text
0,"""I delivered lectures, and I was also a consultant for international companies in finance, both private equity and big venture capital funds.""
~ Ehud Barak #finance"
1,My answer to Why should I invest in stocks instead of investing in mutual funds? https://t.co/5Z0xOm4bEE
2,"@Anon9052 @pratikoswal88 Taxation shouldn't decide your asset allocation. Besides, there is no one size fits all. Why 35% in S&amp;P500? Why not 60% or 20%. Also what about fixed income component? I personally have 66% in international funds and only 33% in nifty. Also the returns from equities won't be..."
3,"Watched @sandra_tlibe on Paul Barron and I'm now more bullish than ever! Excited for the partnerships reveal but let's not rush them. We just gotta have patience and trust the team.

The question now is how should I allocate my funds between $gZIL and $ZIL? 🤔

#Zilliqa #ZilFam"
4,"28/
The team will be monitoring the flow of funds and market sentiments to continuously adjust the APY or token inflation rate to ensure that they are in line with the prevailing monetary policy and keep token holders safe from excessive token inflation."
5,"26/
Once we have obtained a sizeable amount of treasury to deploy as liquidity for the different stablecoins and is expecting a slower flow of new funds we will adjust the APY down to maintain the price on a slower upward trajectory."
6,"23/
On the other hand, for projects that have already raised huge treasuries, it cannot continue to expect a 100x growth in funds during the same time period.

Hint: This is why OHM APY is 3-digits now. https://t.co/M4csdYJmA4"
7,"22/
If a project attracts a high level of funds during its initial stage of launch and the inflation rate is kept low, the token price can hike excessively and crowd out new investors. https://t.co/WEyUqFvirD"
8,"19/
Finally, if the fund stops receiving new funds (through bonding), the “APY” or inflation (through staking) will only be redistributing the value of the project and bringing the price down. https://t.co/CJKMOIujyl"
9,"18/
If the inflation rate exceeds the rate where new funds flow in, the price of the token falls. https://t.co/a6t5Ui5Fqw"
10,"17/
If funds flow in at a rate higher than the rate where new tokens are introduced, the price of the token increases. This is where the demand for the token (from people willing to swap assets like DAI for the governance token) exceeds the supply (from staking rewards). https://t.co/VlEMzSHpnn"
11,"16/
Using dark green blocks to represent new funds, we can see that if the rate of new funds equates to the inflation of the token supply, the price of the token remains the same. https://t.co/RgYauRTqtW"
12,"15/
Think of the token supply as the base of a container, the “APY” as the rate the container is growing, and the flow of funds as a tap filling the container with more liquid. The height of the liquid determines the market price for the token."
13,"14/
However, the model is not static because there is a flow of funds (from the sale of bonds) and there is continuous inflation of the token supply as existing tokens are staked for more tokens. https://t.co/dpHi254i1U"
14,@CGasparino @nypost Why do hedge funds keep adding shares small man? https://t.co/WTIcP0W8Qr
15,@CGasparino @nypostbiz @Partnership4NYC @ManhattanDA Lmao. I sell when Black Rock and Pension funds nationwide stop buying https://t.co/RdcVSikUdV
16,"What are ETFs and how do they differ from Mutual funds?🤔 
Learn more 🔽 
https://t.co/gWmUUurayz

#Phemexacademy #ETF #ETP #ETC #Bitcoin #cryptocurrency"
17,Requesting faucet funds into 0x34cAe6a1530eb2E07D190e123448B1b8a4f5B32b on the #Goerli #Ethereum test network via https://t.co/1pHw3ugU3A
18,Requesting $ONE funds from the #Stakely Faucet on the Harmony blockchain. Request ID: BH4HFH6Q #privacy https://t.co/pjb7yq3V13
19,"Good climate news this week
1 US to restore Obama rules on coal plants
2 Corporate clean-energy hit record
3 Harvard's endowment doubles climate funds
4 Georgia Power to close 12 coal plants
5 UK windfarms alleviate dependence on gas
6 China’s renewables to grow by 140GW in 2022 https://t.co/bv6rV4e3eO"
20,@LomaahhMore @HillelNeuer #ShulamitAloni was very well respected for speaking out against the injustice she saw there. Sadly Israel has gotten much worse since her passing because craven politicians in #USA continue to divert American taxpayers’ funds to spoil their evil child. https://t.co/f2YceAPRLQ
21,"3/
Bonding is a mechanism in which a user can sell assets to a project in exchange for its native token. Protocol Controlled Value (PCV) is the amount of funds the treasury owns and controls. https://t.co/XZN1cRlrsq"
22,"Year of the Tiger is here, and so is

🐯The Rare Earth Observer🐯

On China: RE-Related Output 2021, RE 5-Year Plan, First Half 2022 Quota, 2021 RE Imports &amp; Exports; Funds Flee RE Sector; Murky Quadrant; ASM's Uranium; January RE Stock Performance;

https://t.co/YqZ0uvE2dZ"
23,"6/ Creating a Listing
There are 2 key fields to set when creating a listing to sell your #NFTs on @opensea :
1. The sale price
2. The duration of the listing  
You do not get 100% of your selling price as part of the funds (~10%) are used to pay the service fee and creator fee."
24,GlobalWafers says funds for failed Siltronic take over to go into capacity expansion https://t.co/4EqktGERom https://t.co/Xe8YvwPucK
25,"@FayGumba @syl_litigator @Rayo_delaVerdad @inquirerdotnet Yep i read that these are anonymous offshore accounts are owned by marcos sr and imelda. 
But there isnt anything in the ruling that says funds are stolen or any evidences which indicates  transfer of funds from the treasury to the accounts.. is there?"
26,"@CryptoHarry_ Out of dawn funds (5M unlocked last year) we’ve thus spent $0. Can’t reveal all the cards yet, controversial project, forgive the secrecy

3M monthly withdrawals have nothing to do with dawn but comp and overhead- I’m repeating this monthly, tiring tbh"
27,@ABCaustralia @abcnews There is no such thing as housing affordability - what we are talking about is making funds available for purchase - we are not changing the cost of a house
28,"2. Get a Ledger/Trezor as soon as possible

If you own a Cold Wallet, you are granted additional protection because the thief needs to have physical access to your wallet and your PIN/Password to steal funds.

Unless you leak your seed phrase, if not you're pretty safe."
29,"@JRNYcrypto If the project or devs uses funds to buy a BAYC - run... even if they claim it was one of their ""investors"""
30,"@oncustodian @kucoincom
 Acct Hacked.100% Funds stolen.All security measures (2FA, Google Auth, SMS, Trading PW) in place.
@kucoincom telegram many suffered same hack but 
@kucoincom distancing. Is @oncustodian aware? Does this partnership protect users or a marketing veil?"
31,@invest_ez Developers have been marketing apartments to private investors in Asia (as an example) for years. Between institutional funds + wealthy private investors the overall market in resi is massive...Prob is people can't afford these homes so will $$ eventually flee?
32,"@invest_ez I wonder could it be as high as 300 billion in Europe or more? (institutional investors in residential real estate). It's defo accelerating imo, it's not just in Dublin that funds are hoovering up houses / portfolios etc, it's all over Europe... 
https://t.co/7X8bXNQN26"
33,Requesting $SCRT funds from the #Stakely Faucet on the Secret Network blockchain. Request ID: 8FREUKOM https://t.co/GYVnS93Dgi
34,"Pretty good video, echoes the mental models (frameworks, indexing vs picking) that I have. Crypto mints wealth. We *must* put in the effort.

Crypto Investment Framework, Index Funds vs Individual Tokens, Profit Taking Criteria, Hawkish Fed https://t.co/hLHdII8IUr"
35,"#TigerGlobal leads $32-million round in #Jar savings app at $200-million valuation

The funds will be used to develop additional financial instruments in addition to its present supply of digital gold and to provide users with loans and insurance.

Src : @YourStoryCo https://t.co/z2XeaJjKDN"
36,"@highflydukes @UberFacts It’s more complicated than that. SPH, the corporation that owns ST, hived off the media business part and turned it into a not-for-profit company limited by guarantee, which the government now funds (among other funders). https://t.co/Z6bhd80rnv"
37,@ellenpetersen16 @ScottPresler @GovRonDeSantis @gofundme @AGAshleyMoody An offense was already committed when they declared their intention to commandeer the funds unless refund request was processed BEFORE Feb 19th and then add 7-10 working days.
38,$BTC.X $btc #bitcoin Belarus Moves to Allow Investment Funds to Acquire Crypto Assets https://t.co/YVuBqJPxT6
39,Best Stock Brokers for Mutual Funds 2022 via @investorjunkie https://t.co/msi1MBUHUb
40,"@APompliano The best article was by GoFundMe’s naked diversion of donor’s funds based on sketchy claims to their “verified list of charities”. Donors had to write in to request a refund. Stated terms is if a project is invalid, automatic refunds processed. 

https://t.co/VRIkAYd181"
41,Would it be better for @CathieDWood to stop being a public personality and just focus on her work? I think she has done a great job in educating the world about innovation. Now its time to work in silence to avoid hate driven shorting of her funds! #ARKK
